0.00.359.096 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.542.157 W srv  llama_server: -----------------
0.00.542.159 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.542.160 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.542.160 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.542.160 W srv  llama_server: -----------------
0.00.543.500 I srv    load_model: loading model '/home/dushyant30suthar/.lmstudio/models/unsloth/Laguna-S-2.1-GGUF/Laguna-S-2.1-UD-Q2_K_XL.gguf'
0.00.753.234 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.00.868.166 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.868.170 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.27.931.557 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 98304, kv_unified = 'true'
0.27.931.673 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.27.943.403 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.27.943.431 I srv  llama_server: model loaded
0.27.943.435 I srv  llama_server: listening on http://127.0.0.1:9520
0.28.826.372 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.36.689.998 I slot print_timing: id  3 | task 0 | n_decoded =   1294, tg =  19.71 t/s, tg_3s =  19.49 t/s
1.39.711.832 I slot print_timing: id  3 | task 0 | n_decoded =   1353, tg =  19.71 t/s, tg_3s =  19.52 t/s
1.42.752.603 I slot print_timing: id  3 | task 0 | n_decoded =   1412, tg =  19.69 t/s, tg_3s =  19.40 t/s
1.45.794.734 I slot print_timing: id  3 | task 0 | n_decoded =   1471, tg =  19.68 t/s, tg_3s =  19.39 t/s
1.48.842.446 I slot print_timing: id  3 | task 0 | n_decoded =   1530, tg =  19.67 t/s, tg_3s =  19.36 t/s
1.51.880.349 I slot print_timing: id  3 | task 0 | n_decoded =   1589, tg =  19.66 t/s, tg_3s =  19.42 t/s
1.54.909.146 I slot print_timing: id  3 | task 0 | n_decoded =   1648, tg =  19.65 t/s, tg_3s =  19.48 t/s
1.57.914.223 I slot print_timing: id  3 | task 0 | n_decoded =   1706, tg =  19.64 t/s, tg_3s =  19.30 t/s
2.00.965.020 I slot print_timing: id  3 | task 0 | n_decoded =   1765, tg =  19.63 t/s, tg_3s =  19.34 t/s
2.04.015.380 I slot print_timing: id  3 | task 0 | n_decoded =   1824, tg =  19.62 t/s, tg_3s =  19.34 t/s
2.07.018.824 I slot print_timing: id  3 | task 0 | n_decoded =   1882, tg =  19.61 t/s, tg_3s =  19.31 t/s
2.10.047.169 I slot print_timing: id  3 | task 0 | n_decoded =   1940, tg =  19.60 t/s, tg_3s =  19.15 t/s
2.13.090.303 I slot print_timing: id  3 | task 0 | n_decoded =   1999, tg =  19.59 t/s, tg_3s =  19.39 t/s
2.16.141.181 I slot print_timing: id  3 | task 0 | n_decoded =   2058, tg =  19.58 t/s, tg_3s =  19.34 t/s
2.19.186.995 I slot print_timing: id  3 | task 0 | n_decoded =   2115, tg =  19.56 t/s, tg_3s =  18.71 t/s
2.22.203.015 I slot print_timing: id  3 | task 0 | n_decoded =   2173, tg =  19.55 t/s, tg_3s =  19.23 t/s
2.25.233.588 I slot print_timing: id  3 | task 0 | n_decoded =   2231, tg =  19.54 t/s, tg_3s =  19.14 t/s
2.28.252.662 I slot print_timing: id  3 | task 0 | n_decoded =   2289, tg =  19.53 t/s, tg_3s =  19.21 t/s
2.31.289.332 I slot print_timing: id  3 | task 0 | n_decoded =   2347, tg =  19.52 t/s, tg_3s =  19.10 t/s
2.34.306.984 I slot print_timing: id  3 | task 0 | n_decoded =   2405, tg =  19.51 t/s, tg_3s =  19.22 t/s
2.37.321.858 I slot print_timing: id  3 | task 0 | n_decoded =   2462, tg =  19.50 t/s, tg_3s =  18.91 t/s
2.40.364.509 I slot print_timing: id  3 | task 0 | n_decoded =   2520, tg =  19.49 t/s, tg_3s =  19.06 t/s
2.43.405.189 I slot print_timing: id  3 | task 0 | n_decoded =   2578, tg =  19.48 t/s, tg_3s =  19.07 t/s
2.46.405.231 I slot print_timing: id  3 | task 0 | n_decoded =   2635, tg =  19.47 t/s, tg_3s =  19.00 t/s
2.49.411.693 I slot print_timing: id  3 | task 0 | n_decoded =   2692, tg =  19.46 t/s, tg_3s =  18.96 t/s
2.52.423.560 I slot print_timing: id  3 | task 0 | n_decoded =   2749, tg =  19.45 t/s, tg_3s =  18.93 t/s
2.55.434.711 I slot print_timing: id  3 | task 0 | n_decoded =   2806, tg =  19.43 t/s, tg_3s =  18.93 t/s
2.58.436.691 I slot print_timing: id  3 | task 0 | n_decoded =   2863, tg =  19.43 t/s, tg_3s =  18.99 t/s
3.01.482.556 I slot print_timing: id  3 | task 0 | n_decoded =   2921, tg =  19.42 t/s, tg_3s =  19.04 t/s
3.04.515.337 I slot print_timing: id  3 | task 0 | n_decoded =   2978, tg =  19.41 t/s, tg_3s =  18.79 t/s
3.07.541.663 I slot print_timing: id  3 | task 0 | n_decoded =   3035, tg =  19.39 t/s, tg_3s =  18.83 t/s
3.10.564.817 I slot print_timing: id  3 | task 0 | n_decoded =   3092, tg =  19.38 t/s, tg_3s =  18.85 t/s
3.13.595.810 I slot print_timing: id  3 | task 0 | n_decoded =   3149, tg =  19.37 t/s, tg_3s =  18.81 t/s
3.16.623.151 I slot print_timing: id  3 | task 0 | n_decoded =   3206, tg =  19.36 t/s, tg_3s =  18.83 t/s
3.19.669.048 I slot print_timing: id  3 | task 0 | n_decoded =   3263, tg =  19.35 t/s, tg_3s =  18.71 t/s
3.22.686.944 I slot print_timing: id  3 | task 0 | n_decoded =   3319, tg =  19.34 t/s, tg_3s =  18.56 t/s
3.25.699.369 I slot print_timing: id  3 | task 0 | n_decoded =   3375, tg =  19.32 t/s, tg_3s =  18.59 t/s
3.28.732.310 I slot print_timing: id  3 | task 0 | n_decoded =   3431, tg =  19.31 t/s, tg_3s =  18.46 t/s
3.31.777.533 I slot print_timing: id  3 | task 0 | n_decoded =   3486, tg =  19.29 t/s, tg_3s =  18.06 t/s
3.34.809.525 I slot print_timing: id  3 | task 0 | n_decoded =   3542, tg =  19.28 t/s, tg_3s =  18.47 t/s
3.37.835.629 I slot print_timing: id  3 | task 0 | n_decoded =   3598, tg =  19.26 t/s, tg_3s =  18.51 t/s
3.40.881.061 I slot print_timing: id  3 | task 0 | n_decoded =   3654, tg =  19.25 t/s, tg_3s =  18.39 t/s
3.43.931.691 I slot print_timing: id  3 | task 0 | n_decoded =   3710, tg =  19.23 t/s, tg_3s =  18.36 t/s
3.46.951.303 I slot print_timing: id  3 | task 0 | n_decoded =   3766, tg =  19.22 t/s, tg_3s =  18.55 t/s
3.49.996.624 I slot print_timing: id  3 | task 0 | n_decoded =   3822, tg =  19.21 t/s, tg_3s =  18.39 t/s
3.53.018.746 I slot print_timing: id  3 | task 0 | n_decoded =   3876, tg =  19.19 t/s, tg_3s =  17.87 t/s
3.56.018.931 I slot print_timing: id  3 | task 0 | n_decoded =   3931, tg =  19.18 t/s, tg_3s =  18.33 t/s
3.59.042.549 I slot print_timing: id  3 | task 0 | n_decoded =   3987, tg =  19.17 t/s, tg_3s =  18.52 t/s
4.02.055.635 I slot print_timing: id  3 | task 0 | n_decoded =   4043, tg =  19.16 t/s, tg_3s =  18.59 t/s
4.05.080.460 I slot print_timing: id  3 | task 0 | n_decoded =   4099, tg =  19.15 t/s, tg_3s =  18.51 t/s
4.08.100.374 I slot print_timing: id  3 | task 0 | n_decoded =   4155, tg =  19.14 t/s, tg_3s =  18.54 t/s
4.11.115.825 I slot print_timing: id  3 | task 0 | n_decoded =   4211, tg =  19.14 t/s, tg_3s =  18.57 t/s
4.14.142.126 I slot print_timing: id  3 | task 0 | n_decoded =   4267, tg =  19.13 t/s, tg_3s =  18.50 t/s
4.17.143.910 I slot print_timing: id  3 | task 0 | n_decoded =   4323, tg =  19.12 t/s, tg_3s =  18.66 t/s
4.20.167.142 I slot print_timing: id  3 | task 0 | n_decoded =   4379, tg =  19.11 t/s, tg_3s =  18.52 t/s
4.23.196.325 I slot print_timing: id  3 | task 0 | n_decoded =   4435, tg =  19.10 t/s, tg_3s =  18.49 t/s
4.26.224.110 I slot print_timing: id  3 | task 0 | n_decoded =   4491, tg =  19.10 t/s, tg_3s =  18.50 t/s
4.29.239.304 I slot print_timing: id  3 | task 0 | n_decoded =   4547, tg =  19.09 t/s, tg_3s =  18.57 t/s
4.32.266.481 I slot print_timing: id  3 | task 0 | n_decoded =   4603, tg =  19.08 t/s, tg_3s =  18.50 t/s
4.35.290.549 I slot print_timing: id  3 | task 0 | n_decoded =   4659, tg =  19.08 t/s, tg_3s =  18.52 t/s
4.38.309.395 I slot print_timing: id  3 | task 0 | n_decoded =   4715, tg =  19.07 t/s, tg_3s =  18.55 t/s
4.41.344.094 I slot print_timing: id  3 | task 0 | n_decoded =   4771, tg =  19.06 t/s, tg_3s =  18.45 t/s
4.43.997.336 I slot print_timing: id  3 | task 0 | prompt eval time =    2224.36 ms /   138 tokens (   16.12 ms per token,    62.04 tokens per second)
4.43.997.380 I slot print_timing: id  3 | task 0 |        eval time =  252946.51 ms /  4820 tokens (   52.48 ms per token,    19.06 tokens per second)
4.43.997.398 I slot print_timing: id  3 | task 0 |       total time =  255170.88 ms /  4958 tokens
4.43.997.418 I slot print_timing: id  3 | task 0 |    graphs reused =       4799
4.43.997.992 I slot      release: id  3 | task 0 | stop processing: n_tokens = 4957, truncated = 0
4.44.011.367 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.699 (> 0.100 thold), f_keep = 0.012
4.44.011.421 I slot launch_slot_: id  3 | task 4822 | processing task, is_child = 0
4.50.738.873 I slot print_timing: id  3 | task 4822 | n_decoded =    100, tg =  20.12 t/s, tg_3s =  20.12 t/s
4.53.781.186 I slot print_timing: id  3 | task 4822 | n_decoded =    161, tg =  20.09 t/s, tg_3s =  20.05 t/s
4.56.825.344 I slot print_timing: id  3 | task 4822 | n_decoded =    221, tg =  19.99 t/s, tg_3s =  19.71 t/s
4.59.836.197 I slot print_timing: id  3 | task 4822 | n_decoded =    281, tg =  19.97 t/s, tg_3s =  19.93 t/s
5.02.839.623 I slot print_timing: id  3 | task 4822 | n_decoded =    340, tg =  19.92 t/s, tg_3s =  19.64 t/s
5.05.864.714 I slot print_timing: id  3 | task 4822 | n_decoded =    400, tg =  19.90 t/s, tg_3s =  19.83 t/s
5.08.880.061 I slot print_timing: id  3 | task 4822 | n_decoded =    459, tg =  19.86 t/s, tg_3s =  19.57 t/s
5.11.891.785 I slot print_timing: id  3 | task 4822 | n_decoded =    518, tg =  19.83 t/s, tg_3s =  19.59 t/s
5.14.925.807 I slot print_timing: id  3 | task 4822 | n_decoded =    578, tg =  19.82 t/s, tg_3s =  19.78 t/s
5.17.961.534 I slot print_timing: id  3 | task 4822 | n_decoded =    638, tg =  19.82 t/s, tg_3s =  19.76 t/s
5.20.984.467 I slot print_timing: id  3 | task 4822 | n_decoded =    697, tg =  19.79 t/s, tg_3s =  19.52 t/s
5.21.344.197 I slot print_timing: id  3 | task 4822 | prompt eval time =    1756.46 ms /    83 tokens (   21.16 ms per token,    47.25 tokens per second)
5.21.344.262 I slot print_timing: id  3 | task 4822 |        eval time =   35576.29 ms /   704 tokens (   50.53 ms per token,    19.79 tokens per second)
5.21.344.281 I slot print_timing: id  3 | task 4822 |       total time =   37332.74 ms /   787 tokens
5.21.344.299 I slot print_timing: id  3 | task 4822 |    graphs reused =       5498
5.21.344.339 I slot      release: id  3 | task 4822 | stop processing: n_tokens = 786, truncated = 0
5.21.359.236 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.425 (> 0.100 thold), f_keep = 0.073
5.21.359.287 I slot launch_slot_: id  3 | task 5528 | processing task, is_child = 0
5.28.297.268 I slot print_timing: id  3 | task 5528 | n_decoded =    100, tg =  20.25 t/s, tg_3s =  20.25 t/s
5.31.328.549 I slot print_timing: id  3 | task 5528 | n_decoded =    160, tg =  20.08 t/s, tg_3s =  19.79 t/s
5.34.361.734 I slot print_timing: id  3 | task 5528 | n_decoded =    220, tg =  20.00 t/s, tg_3s =  19.78 t/s
5.37.389.853 I slot print_timing: id  3 | task 5528 | n_decoded =    280, tg =  19.96 t/s, tg_3s =  19.81 t/s
5.40.429.926 I slot print_timing: id  3 | task 5528 | n_decoded =    340, tg =  19.92 t/s, tg_3s =  19.74 t/s
5.43.477.393 I slot print_timing: id  3 | task 5528 | n_decoded =    400, tg =  19.88 t/s, tg_3s =  19.69 t/s
5.46.525.428 I slot print_timing: id  3 | task 5528 | n_decoded =    460, tg =  19.86 t/s, tg_3s =  19.68 t/s
5.49.570.224 I slot print_timing: id  3 | task 5528 | n_decoded =    520, tg =  19.84 t/s, tg_3s =  19.71 t/s
5.52.611.167 I slot print_timing: id  3 | task 5528 | n_decoded =    577, tg =  19.73 t/s, tg_3s =  18.74 t/s
5.55.627.364 I slot print_timing: id  3 | task 5528 | n_decoded =    636, tg =  19.71 t/s, tg_3s =  19.56 t/s
5.58.651.177 I slot print_timing: id  3 | task 5528 | n_decoded =    695, tg =  19.69 t/s, tg_3s =  19.51 t/s
6.01.668.077 I slot print_timing: id  3 | task 5528 | n_decoded =    754, tg =  19.68 t/s, tg_3s =  19.56 t/s
6.04.673.379 I slot print_timing: id  3 | task 5528 | n_decoded =    812, tg =  19.65 t/s, tg_3s =  19.30 t/s
6.07.724.061 I slot print_timing: id  3 | task 5528 | n_decoded =    872, tg =  19.66 t/s, tg_3s =  19.67 t/s
6.10.742.389 I slot print_timing: id  3 | task 5528 | n_decoded =    931, tg =  19.65 t/s, tg_3s =  19.55 t/s
6.13.752.307 I slot print_timing: id  3 | task 5528 | n_decoded =    990, tg =  19.65 t/s, tg_3s =  19.60 t/s
6.15.596.148 I slot print_timing: id  3 | task 5528 | prompt eval time =    2000.32 ms /   134 tokens (   14.93 ms per token,    66.99 tokens per second)
6.15.596.190 I slot print_timing: id  3 | task 5528 |        eval time =   52236.50 ms /  1025 tokens (   50.96 ms per token,    19.62 tokens per second)
6.15.596.209 I slot print_timing: id  3 | task 5528 |       total time =   54236.83 ms /  1159 tokens
6.15.596.226 I slot print_timing: id  3 | task 5528 |    graphs reused =       6517
6.15.596.514 I slot      release: id  3 | task 5528 | stop processing: n_tokens = 1158, truncated = 0
6.15.607.756 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.722 (> 0.100 thold), f_keep = 0.049
6.15.607.809 I slot launch_slot_: id  3 | task 6555 | processing task, is_child = 0
6.22.255.278 I slot print_timing: id  3 | task 6555 | n_decoded =    100, tg =  20.25 t/s, tg_3s =  20.25 t/s
6.24.070.491 I slot print_timing: id  3 | task 6555 | prompt eval time =    1708.38 ms /    79 tokens (   21.63 ms per token,    46.24 tokens per second)
6.24.070.548 I slot print_timing: id  3 | task 6555 |        eval time =    6754.29 ms /   136 tokens (   49.66 ms per token,    20.14 tokens per second)
6.24.070.566 I slot print_timing: id  3 | task 6555 |       total time =    8462.67 ms /   215 tokens
6.24.070.584 I slot print_timing: id  3 | task 6555 |    graphs reused =       6651
6.24.070.804 I slot      release: id  3 | task 6555 | stop processing: n_tokens = 214, truncated = 0
6.24.082.237 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.563 (> 0.100 thold), f_keep = 0.271
6.24.082.276 I slot launch_slot_: id  3 | task 6693 | processing task, is_child = 0
6.30.947.248 I slot print_timing: id  3 | task 6693 | n_decoded =    100, tg =  20.29 t/s, tg_3s =  20.29 t/s
6.33.967.721 I slot print_timing: id  3 | task 6693 | n_decoded =    160, tg =  20.13 t/s, tg_3s =  19.86 t/s
6.36.989.224 I slot print_timing: id  3 | task 6693 | n_decoded =    220, tg =  20.06 t/s, tg_3s =  19.86 t/s
6.40.023.721 I slot print_timing: id  3 | task 6693 | n_decoded =    280, tg =  19.99 t/s, tg_3s =  19.77 t/s
6.43.072.728 I slot print_timing: id  3 | task 6693 | n_decoded =    340, tg =  19.94 t/s, tg_3s =  19.68 t/s
6.46.111.745 I slot print_timing: id  3 | task 6693 | n_decoded =    400, tg =  19.91 t/s, tg_3s =  19.74 t/s
6.49.126.006 I slot print_timing: id  3 | task 6693 | n_decoded =    459, tg =  19.86 t/s, tg_3s =  19.57 t/s
6.52.173.154 I slot print_timing: id  3 | task 6693 | n_decoded =    519, tg =  19.84 t/s, tg_3s =  19.69 t/s
6.55.213.882 I slot print_timing: id  3 | task 6693 | n_decoded =    579, tg =  19.83 t/s, tg_3s =  19.73 t/s
6.55.777.445 I slot print_timing: id  3 | task 6693 | prompt eval time =    1937.58 ms /   103 tokens (   18.81 ms per token,    53.16 tokens per second)
6.55.777.488 I slot print_timing: id  3 | task 6693 |        eval time =   29757.57 ms /   590 tokens (   50.44 ms per token,    19.83 tokens per second)
6.55.777.507 I slot print_timing: id  3 | task 6693 |       total time =   31695.15 ms /   693 tokens
6.55.777.524 I slot print_timing: id  3 | task 6693 |    graphs reused =       7237
6.55.780.229 I slot      release: id  3 | task 6693 | stop processing: n_tokens = 692, truncated = 0
6.55.788.904 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.734 (> 0.100 thold), f_keep = 0.084
6.55.788.943 I slot launch_slot_: id  3 | task 7285 | processing task, is_child = 0
7.02.461.791 I slot print_timing: id  3 | task 7285 | n_decoded =    100, tg =  20.19 t/s, tg_3s =  20.19 t/s
7.05.474.382 I slot print_timing: id  3 | task 7285 | n_decoded =    160, tg =  20.08 t/s, tg_3s =  19.92 t/s
7.08.485.072 I slot print_timing: id  3 | task 7285 | n_decoded =    219, tg =  19.95 t/s, tg_3s =  19.60 t/s
7.11.504.201 I slot print_timing: id  3 | task 7285 | n_decoded =    279, tg =  19.93 t/s, tg_3s =  19.87 t/s
7.14.530.458 I slot print_timing: id  3 | task 7285 | n_decoded =    339, tg =  19.91 t/s, tg_3s =  19.83 t/s
7.17.625.869 I slot print_timing: id  3 | task 7285 | n_decoded =    395, tg =  19.63 t/s, tg_3s =  18.09 t/s
7.20.653.507 I slot print_timing: id  3 | task 7285 | n_decoded =    450, tg =  19.44 t/s, tg_3s =  18.17 t/s
7.23.671.984 I slot print_timing: id  3 | task 7285 | n_decoded =    507, tg =  19.38 t/s, tg_3s =  18.88 t/s
7.26.701.265 I slot print_timing: id  3 | task 7285 | n_decoded =    564, tg =  19.32 t/s, tg_3s =  18.82 t/s
7.29.732.212 I slot print_timing: id  3 | task 7285 | n_decoded =    620, tg =  19.24 t/s, tg_3s =  18.48 t/s
7.32.736.982 I slot print_timing: id  3 | task 7285 | n_decoded =    671, tg =  19.05 t/s, tg_3s =  16.97 t/s
7.35.756.790 I slot print_timing: id  3 | task 7285 | n_decoded =    726, tg =  18.98 t/s, tg_3s =  18.21 t/s
7.38.782.064 I slot print_timing: id  3 | task 7285 | n_decoded =    781, tg =  18.92 t/s, tg_3s =  18.18 t/s
7.41.826.453 I slot print_timing: id  3 | task 7285 | n_decoded =    836, tg =  18.86 t/s, tg_3s =  18.07 t/s
7.44.879.745 I slot print_timing: id  3 | task 7285 | n_decoded =    892, tg =  18.83 t/s, tg_3s =  18.34 t/s
7.47.922.055 I slot print_timing: id  3 | task 7285 | n_decoded =    948, tg =  18.80 t/s, tg_3s =  18.41 t/s
7.50.968.113 I slot print_timing: id  3 | task 7285 | n_decoded =    999, tg =  18.69 t/s, tg_3s =  16.74 t/s
7.51.944.302 I slot print_timing: id  3 | task 7285 | prompt eval time =    1718.70 ms /    79 tokens (   21.76 ms per token,    45.96 tokens per second)
7.51.944.345 I slot print_timing: id  3 | task 7285 |        eval time =   54436.64 ms /  1017 tokens (   53.53 ms per token,    18.68 tokens per second)
7.51.944.380 I slot print_timing: id  3 | task 7285 |       total time =   56155.34 ms /  1096 tokens
7.51.944.400 I slot print_timing: id  3 | task 7285 |    graphs reused =       8248
7.51.944.439 I slot      release: id  3 | task 7285 | stop processing: n_tokens = 1095, truncated = 0
7.51.952.887 I srv    operator(): operator(): cleaning up before exit...
0.00.135.913 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.301.321 W srv  llama_server: -----------------
0.00.301.323 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.301.324 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.301.324 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.301.324 W srv  llama_server: -----------------
0.00.302.671 I srv    load_model: loading model '/home/dushyant30suthar/.lmstudio/models/unsloth/Laguna-S-2.1-GGUF/Laguna-S-2.1-UD-IQ3_XXS.gguf'
0.00.521.350 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.00.638.176 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.638.179 W load: special_eot_id is not in special_eog_ids - the tokenizer config may be incorrect
0.35.295.629 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 98304, kv_unified = 'true'
0.35.295.751 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.35.311.658 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.35.312.339 I srv  llama_server: model loaded
0.35.312.347 I srv  llama_server: listening on http://127.0.0.1:9520
0.38.130.655 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.38.131.975 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.47.385.572 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =  15.56 t/s, tg_3s =  15.56 t/s
0.50.421.791 I slot print_timing: id  3 | task 0 | n_decoded =    147, tg =  15.53 t/s, tg_3s =  15.48 t/s
0.53.443.088 I slot print_timing: id  3 | task 0 | n_decoded =    194, tg =  15.54 t/s, tg_3s =  15.56 t/s
0.56.478.550 I slot print_timing: id  3 | task 0 | n_decoded =    241, tg =  15.53 t/s, tg_3s =  15.48 t/s
0.59.506.156 I slot print_timing: id  3 | task 0 | n_decoded =    288, tg =  15.53 t/s, tg_3s =  15.52 t/s
1.02.519.346 I slot print_timing: id  3 | task 0 | n_decoded =    334, tg =  15.49 t/s, tg_3s =  15.27 t/s
1.05.527.552 I slot print_timing: id  3 | task 0 | n_decoded =    380, tg =  15.47 t/s, tg_3s =  15.29 t/s
1.08.541.050 I slot print_timing: id  3 | task 0 | n_decoded =    426, tg =  15.44 t/s, tg_3s =  15.26 t/s
1.11.582.146 I slot print_timing: id  3 | task 0 | n_decoded =    472, tg =  15.41 t/s, tg_3s =  15.13 t/s
1.14.828.560 I slot print_timing: id  3 | task 0 | n_decoded =    485, tg =  14.32 t/s, tg_3s =   4.00 t/s
1.17.837.871 I slot print_timing: id  3 | task 0 | n_decoded =    504, tg =  13.67 t/s, tg_3s =   6.31 t/s
1.20.864.138 I slot print_timing: id  3 | task 0 | n_decoded =    550, tg =  13.78 t/s, tg_3s =  15.20 t/s
1.23.877.141 I slot print_timing: id  3 | task 0 | n_decoded =    595, tg =  13.86 t/s, tg_3s =  14.94 t/s
1.26.932.955 I slot print_timing: id  3 | task 0 | n_decoded =    641, tg =  13.94 t/s, tg_3s =  15.05 t/s
1.29.933.800 I slot print_timing: id  3 | task 0 | n_decoded =    686, tg =  14.01 t/s, tg_3s =  15.00 t/s
1.32.943.369 I slot print_timing: id  3 | task 0 | n_decoded =    731, tg =  14.06 t/s, tg_3s =  14.95 t/s
1.35.967.931 I slot print_timing: id  3 | task 0 | n_decoded =    777, tg =  14.12 t/s, tg_3s =  15.21 t/s
1.39.020.453 I slot print_timing: id  3 | task 0 | n_decoded =    823, tg =  14.17 t/s, tg_3s =  15.07 t/s
